"NOTE: Coding book to accompany, Nagle, C. L. (in press). Assessing the state of the art in longitudinal L2 pronunciation research: Trends and future directions. Journal of Second Language Pronunciation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study,Authors,First Author,Year (20XX),Venue,Reason for Multiple,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Actual Tasks,Actual Outcome Measures,Statistical Tests,N Raters/Coders,Rater Profile
31,Chang,Chang,13,JPhon,,5 weeks,1.25,0–4,5,Equal,,11,23,Adult,Foreign,Yes,FL,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Word Reading,"Acoustic Analysis (Vot Word-Initial Plosives, Vowels)",Mixed models,,
32.1,Chang,Chang,19,JPhon,Groups (L2 Use),1 year,12,8–12,6,Unequal,"1-5 weeks, week 52",17,24.4,Adult,Second,,SL,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Word Reading,"Acoustic Analysis (Word-Initial Stop VOT, Onset F0, F1 F2 At Vowel Midpoint)",Mixed models,,
32.2,Chang,Chang,19,JPhon,Groups (L2 Use),1 year,12,8–12,6,Unequal,"1-5 weeks, week 52",17,23.6,Adult,Second,,SL,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Word Reading,"Acoustic Analysis (Word-Initial Stop VOT, Onset F0, F1 F2 At Vowel Midpoint)",Mixed models,,
33.1,George,George,14,FLA,SP Task,1 semester,4,0–4,3,Equal,,25,20,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Word & Passage Reading,Count/Frequency of Usage of Interdental Voiceless Fricative Regional (Spain) Variant,ANOVA,,
33.2,George,George,14,FLA,SP Task,1 semester,4,0–4,3,Equal,,25,20,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Guided Conversation,Count/Frequency of Usage of Interdental Voiceless Fricative Regional (Spain) Variant,ANOVA,,
34,Huensch Tracy-Ventura,Huensch,17,MLJ,,2 years,24,12–24,6,Unequal,"(1) before, (3) during, (2) after study abroad",24,20.6,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Picture-Based Narrative,Utterance Fluency,ANOVA,,
35.1,Knouse,Knouse,13,FLA,Groups (SL vs. FL),6 weeks,1.5,0–4,2,Equal,,15,,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,"Text Reading, Open-Ended Response",Count/Frequency of Usage of Interdental Voiceless Fricative Regional (Spain) Variant,Descriptive,,
35.2,Knouse,Knouse,13,FLA,Groups (SL vs. FL),6 weeks,1.5,0–4,2,Equal,,10,,Adult,Foreign,Yes,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,"Text Reading, Open-Ended Response",Count/Frequency of Usage of Interdental Voiceless Fricative Regional (Spain) Variant,Descriptive,,
36.1,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),3 months,3,0–4,2,Equal,"pre-program, post-program",28,10.4,Adolescent,Second,Yes,SL SA,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,"Interview, Story Narration","Prevalance Of Foreign Accent (1 = No FA, 7 = Very Strong FA)",ANOVA,28,Novice/Untrained
36.2,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),3 months,3,0–4,2,Equal,"pre-departure, post-departure",27,10.4,Adolescent,Foreign,Yes,FL,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,"Interview, Story Narration","Prevalance Of Foreign Accent (1 = No FA, 7 = Very Strong FA)",ANOVA,28,Novice/Untrained
36.3,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),3 months,3,0–4,2,Equal,"pre-program, post-program",28,22.36,Adult,Second,Yes,SL SA,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,"Interview, Story Narration","Prevalance Of Foreign Accent (1 = No FA, 7 = Very Strong FA)",ANOVA,28,Novice/Untrained
36.4,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),3 months,3,0–4,2,Equal,"pre-departure, post-departure",27,22.36,Adult,Foreign,Yes,FL,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,"Interview, Story Narration","Prevalance Of Foreign Accent (1 = No FA, 7 = Very Strong FA)",ANOVA,28,Novice/Untrained
37.1,Saito Sun Tierney,Saito,20,AP,SP Coding,8 months,8,4–8,2,Equal,,30,23.5,Adult,Second,Yes,SL SA,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Timed Pictured Description ,"Breakdown, Speed",Mixed models,2,Expert/Trained
37.2,Saito Sun Tierney,Saito,20,AP,SP Coding,8 months,8,4–8,2,Equal,,30,23.5,Adult,Second,Yes,SL SA,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Segmental, Word Stress, Intonation, Tempo",Mixed models,5,Expert/Trained
38,Zielinski Pryor,Zielinski,20,JSLP,,10 months,10,8–12,4,Equal,,14,,Adult,Second,Yes,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,"Interview, Prompt Questions","Comprehensibility (5-point scale), Patterns of Language Use",Descriptive,10,Expert/Trained
39.1,Nagle,Nagle,20,LL,"Perception-Production, SP Task",8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Perception,Perception,Perception,Perception,Oddity,Perceptual Sensitivity (A'),Mixed models,
39.2,Nagle,Nagle,20,LL,"Perception-Production, SP Task",8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,Delayed Repetition,VOT,Mixed models,
39.3,Nagle,Nagle,20,LL,"Perception-Production, SP Task",8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Spontaneous,Production - Coded,Production,Picture Description,VOT,Mixed models,
